epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
106,632.827,1.50753,2.89219,0.85696,1.25737,0,0.88264,0.87178,0.89989,0.55783,0.82479,0.80373,0.79194,0.39314,1.74416,3.29821,0.77933,1.53159,0,0.00048025,0.00048025,0.00048025
107,638.757,1.50118,2.84663,0.84542,1.2679,0,0.88103,0.91645,0.91338,0.59683,0.83097,0.84441,0.82505,0.43832,1.63336,3.06485,0.71585,1.46669,0,0.0004753,0.0004753,0.0004753
108,644.741,1.44316,2.77573,0.82584,1.22354,0,0.93282,0.89504,0.92374,0.61361,0.89025,0.85072,0.8541,0.47144,1.5533,2.95533,0.67323,1.44984,0,0.00047035,0.00047035,0.00047035
109,650.692,1.49762,2.84,0.82857,1.25504,0,0.85549,0.84754,0.90178,0.58456,0.83028,0.80032,0.83421,0.44779,1.59352,2.95404,0.75747,1.45096,0,0.0004654,0.0004654,0.0004654
110,656.594,1.50377,2.82186,0.85438,1.26565,0,0.9123,0.90749,0.92571,0.58227,0.84035,0.83378,0.82824,0.44372,1.65121,3.21241,0.71096,1.46321,0,0.00046045,0.00046045,0.00046045
111,662.493,1.54092,2.92656,0.88377,1.28005,0,0.88789,0.87179,0.92043,0.57092,0.84247,0.82301,0.82882,0.40869,1.68953,3.22937,0.73419,1.46973,0,0.0004555,0.0004555,0.0004555
112,668.44,1.47162,2.79903,0.80487,1.23951,0,0.93469,0.88231,0.92199,0.56257,0.85946,0.77992,0.796,0.41898,1.76194,3.26795,0.75279,1.52566,0,0.00045055,0.00045055,0.00045055
113,674.338,1.48878,2.83273,0.81742,1.25104,0,0.94345,0.92033,0.93699,0.62943,0.90992,0.8426,0.85585,0.48037,1.51482,2.90988,0.64289,1.40987,0,0.0004456,0.0004456,0.0004456
114,680.268,1.46282,2.83169,0.83512,1.24213,0,0.92793,0.90921,0.92548,0.6303,0.88123,0.86499,0.86364,0.47862,1.53364,2.96388,0.64053,1.41886,0,0.00044065,0.00044065,0.00044065
115,686.203,1.4744,2.81478,0.83761,1.25598,0,0.93713,0.88043,0.92557,0.60996,0.88883,0.83386,0.83152,0.46717,1.54845,2.99333,0.68355,1.4338,0,0.0004357,0.0004357,0.0004357
116,692.196,1.50445,2.83381,0.83404,1.27468,0,0.92261,0.89076,0.91934,0.56353,0.85095,0.79729,0.79385,0.40516,1.77245,3.23982,0.699,1.54817,0,0.00043075,0.00043075,0.00043075
117,698.081,1.47423,2.84513,0.8459,1.24803,0,0.90704,0.9053,0.92934,0.61522,0.86727,0.85591,0.86433,0.47115,1.56403,2.90805,0.67875,1.42498,0,0.0004258,0.0004258,0.0004258
118,703.969,1.44604,2.78316,0.80742,1.23543,0,0.91474,0.91489,0.92945,0.6023,0.86141,0.86159,0.8447,0.46949,1.64195,3.02011,0.69051,1.4689,0,0.00042085,0.00042085,0.00042085
119,709.904,1.44312,2.81749,0.82175,1.23361,0,0.93119,0.9038,0.92506,0.61963,0.88445,0.85932,0.86138,0.47305,1.54053,2.93131,0.6833,1.41526,0,0.0004159,0.0004159,0.0004159
