[INFO] Session log file: dataset/debug/session_20260520_164514.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2616465765, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=110, depth_sets=109, color=1280×720,OBFormat.RGB,ts=2616476239, depth=640×576,OBFormat.Y16,ts=2616476240
[DEBUG] frames: total=111, depth_sets=110, color=1280×720,OBFormat.RGB,ts=2616476338, depth=640×576,OBFormat.Y16,ts=2616476340
[DEBUG] frames: total=112, depth_sets=111, color=1280×720,OBFormat.RGB,ts=2616476438, depth=640×576,OBFormat.Y16,ts=2616476439
[DEBUG] frames: total=113, depth_sets=112, color=1280×720,OBFormat.RGB,ts=2616476538, depth=640×576,OBFormat.Y16,ts=2616476539
[DEBUG] frames: total=114, depth_sets=113, color=1280×720,OBFormat.RGB,ts=2616476604, depth=640×576,OBFormat.Y16,ts=2616476606
[DEBUG] frames: total=115, depth_sets=114, color=1280×720,OBFormat.RGB,ts=2616476704, depth=640×576,OBFormat.Y16,ts=2616476705
[DEBUG] frames: total=116, depth_sets=115, color=1280×720,OBFormat.RGB,ts=2616476771, depth=640×576,OBFormat.Y16,ts=2616476772
[DEBUG] frames: total=117, depth_sets=116, color=1280×720,OBFormat.RGB,ts=2616476870, depth=640×576,OBFormat.Y16,ts=2616476872
[DEBUG] frames: total=118, depth_sets=117, color=1280×720,OBFormat.RGB,ts=2616476937, depth=640×576,OBFormat.Y16,ts=2616476938
[DEBUG] frames: total=119, depth_sets=118, color=1280×720,OBFormat.RGB,ts=2616477037, depth=640×576,OBFormat.Y16,ts=2616477038
[DEBUG] frames: total=120, depth_sets=119, color=1280×720,OBFormat.RGB,ts=2616477103, depth=640×576,OBFormat.Y16,ts=2616477104
[DEBUG] frames: total=121, depth_sets=120, color=1280×720,OBFormat.RGB,ts=2616477203, depth=640×576,OBFormat.Y16,ts=2616477204
[DEBUG] frames: total=122, depth_sets=121, color=1280×720,OBFormat.RGB,ts=2616477303, depth=640×576,OBFormat.Y16,ts=2616477304
[DEBUG] frames: total=123, depth_sets=122, color=1280×720,OBFormat.RGB,ts=2616477369, depth=640×576,OBFormat.Y16,ts=2616477370
[DEBUG] frames: total=124, depth_sets=123, color=1280×720,OBFormat.RGB,ts=2616477469, depth=640×576,OBFormat.Y16,ts=2616477470
[DEBUG] frames: total=125, depth_sets=124, color=1280×720,OBFormat.RGB,ts=2616477535, depth=640×576,OBFormat.Y16,ts=2616477537
[DEBUG] frames: total=126, depth_sets=125, color=1280×720,OBFormat.RGB,ts=2616477635, depth=640×576,OBFormat.Y16,ts=2616477636
[DEBUG] frames: total=127, depth_sets=126, color=1280×720,OBFormat.RGB,ts=2616477702, depth=640×576,OBFormat.Y16,ts=2616477703
[DEBUG] frames: total=128, depth_sets=127, color=1280×720,OBFormat.RGB,ts=2616477802, depth=640×576,OBFormat.Y16,ts=2616477803
[DEBUG] frames: total=129, depth_sets=128, color=1280×720,OBFormat.RGB,ts=2616477868, depth=640×576,OBFormat.Y16,ts=2616477869
[DEBUG] frames: total=130, depth_sets=129, color=1280×720,OBFormat.RGB,ts=2616477968, depth=640×576,OBFormat.Y16,ts=2616477969
[DEBUG] frames: total=131, depth_sets=130, color=1280×720,OBFormat.RGB,ts=2616478034, depth=640×576,OBFormat.Y16,ts=2616478035
[DEBUG] frames: total=132, depth_sets=131, color=1280×720,OBFormat.RGB,ts=2616478134, depth=640×576,OBFormat.Y16,ts=2616478135
[DEBUG] frames: total=133, depth_sets=132, color=1280×720,OBFormat.RGB,ts=2616478201, depth=640×576,OBFormat.Y16,ts=2616478202
[DEBUG] frames: total=134, depth_sets=133, color=1280×720,OBFormat.RGB,ts=2616478300, depth=640×576,OBFormat.Y16,ts=2616478301
[DEBUG] frames: total=135, depth_sets=134, color=1280×720,OBFormat.RGB,ts=2616478367, depth=640×576,OBFormat.Y16,ts=2616478368
[DEBUG] frames: total=136, depth_sets=135, color=1280×720,OBFormat.RGB,ts=2616478467, depth=640×576,OBFormat.Y16,ts=2616478468
[DEBUG] frames: total=137, depth_sets=136, color=1280×720,OBFormat.RGB,ts=2616478533, depth=640×576,OBFormat.Y16,ts=2616478534
[DEBUG] frames: total=138, depth_sets=137, color=1280×720,OBFormat.RGB,ts=2616478633, depth=640×576,OBFormat.Y16,ts=2616478634
[DEBUG] frames: total=139, depth_sets=138, color=1280×720,OBFormat.RGB,ts=2616478699, depth=640×576,OBFormat.Y16,ts=2616478700
[DEBUG] frames: total=140, depth_sets=139, color=1280×720,OBFormat.RGB,ts=2616478799, depth=640×576,OBFormat.Y16,ts=2616478800
[DEBUG] frames: total=141, depth_sets=140, color=1280×720,OBFormat.RGB,ts=2616478866, depth=640×576,OBFormat.Y16,ts=2616478867
[DEBUG] frames: total=142, depth_sets=141, color=1280×720,OBFormat.RGB,ts=2616478965, depth=640×576,OBFormat.Y16,ts=2616478966
[DEBUG] frames: total=143, depth_sets=142, color=1280×720,OBFormat.RGB,ts=2616479032, depth=640×576,OBFormat.Y16,ts=2616479033
[DEBUG] frames: total=144, depth_sets=143, color=1280×720,OBFormat.RGB,ts=2616479132, depth=640×576,OBFormat.Y16,ts=2616479133
[DEBUG] frames: total=145, depth_sets=144, color=1280×720,OBFormat.RGB,ts=2616479198, depth=640×576,OBFormat.Y16,ts=2616479199
[DEBUG] frames: total=146, depth_sets=145, color=1280×720,OBFormat.RGB,ts=2616479298, depth=640×576,OBFormat.Y16,ts=2616479299
[DEBUG] frames: total=147, depth_sets=146, color=1280×720,OBFormat.RGB,ts=2616479364, depth=640×576,OBFormat.Y16,ts=2616479365
[DEBUG] frames: total=148, depth_sets=147, color=1280×720,OBFormat.RGB,ts=2616479464, depth=640×576,OBFormat.Y16,ts=2616479465
[DEBUG] frames: total=149, depth_sets=148, color=1280×720,OBFormat.RGB,ts=2616479564, depth=640×576,OBFormat.Y16,ts=2616479565
[DEBUG] frames: total=150, depth_sets=149, color=1280×720,OBFormat.RGB,ts=2616479630, depth=640×576,OBFormat.Y16,ts=2616479631
[DEBUG] frames: total=151, depth_sets=150, color=1280×720,OBFormat.RGB,ts=2616479730, depth=640×576,OBFormat.Y16,ts=2616479731
[DEBUG] frames: total=152, depth_sets=151, color=1280×720,OBFormat.RGB,ts=2616479797, depth=640×576,OBFormat.Y16,ts=2616479798
[DEBUG] frames: total=153, depth_sets=152, color=1280×720,OBFormat.RGB,ts=2616479896, depth=640×576,OBFormat.Y16,ts=2616479897
[DEBUG] frames: total=154, depth_sets=153, color=1280×720,OBFormat.RGB,ts=2616479996, depth=640×576,OBFormat.Y16,ts=2616479997
[DEBUG] frames: total=155, depth_sets=154, color=1280×720,OBFormat.RGB,ts=2616480063, depth=640×576,OBFormat.Y16,ts=2616480064
[DEBUG] frames: total=156, depth_sets=155, color=1280×720,OBFormat.RGB,ts=2616480162, depth=640×576,OBFormat.Y16,ts=2616480163
[DEBUG] frames: total=157, depth_sets=156, color=1280×720,OBFormat.RGB,ts=2616480229, depth=640×576,OBFormat.Y16,ts=2616480230
[DEBUG] frames: total=158, depth_sets=157, color=1280×720,OBFormat.RGB,ts=2616480329, depth=640×576,OBFormat.Y16,ts=2616480330
[DEBUG] frames: total=159, depth_sets=158, color=1280×720,OBFormat.RGB,ts=2616480395, depth=640×576,OBFormat.Y16,ts=2616480396
[DEBUG] frames: total=160, depth_sets=159, color=1280×720,OBFormat.RGB,ts=2616480495, depth=640×576,OBFormat.Y16,ts=2616480496
[DEBUG] frames: total=161, depth_sets=160, color=1280×720,OBFormat.RGB,ts=2616480561, depth=640×576,OBFormat.Y16,ts=2616480562
[DEBUG] frames: total=162, depth_sets=161, color=1280×720,OBFormat.RGB,ts=2616480661, depth=640×576,OBFormat.Y16,ts=2616480662
[DEBUG] frames: total=163, depth_sets=162, color=1280×720,OBFormat.RGB,ts=2616480728, depth=640×576,OBFormat.Y16,ts=2616480729
[DEBUG] frames: total=164, depth_sets=163, color=1280×720,OBFormat.RGB,ts=2616480827, depth=640×576,OBFormat.Y16,ts=2616480828
[DEBUG] frames: total=165, depth_sets=164, color=1280×720,OBFormat.RGB,ts=2616480894, depth=640×576,OBFormat.Y16,ts=2616480895
[DEBUG] frames: total=166, depth_sets=165, color=1280×720,OBFormat.RGB,ts=2616480994, depth=640×576,OBFormat.Y16,ts=2616480995
[DEBUG] frames: total=167, depth_sets=166, color=1280×720,OBFormat.RGB,ts=2616481060, depth=640×576,OBFormat.Y16,ts=2616481061
