[INFO] Session log file: dataset/debug/session_20260519_132034.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517784909, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785009, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=3, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785109, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=4, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785142, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=133, depth_sets=128, color=1280×720,OBFormat.RGB,ts=2517796415, depth=640×576,OBFormat.Y16,ts=2517796416
[DEBUG] frames: total=134, depth_sets=129, color=1280×720,OBFormat.RGB,ts=2517796514, depth=640×576,OBFormat.Y16,ts=2517796516
[DEBUG] frames: total=135, depth_sets=130, color=1280×720,OBFormat.RGB,ts=2517796581, depth=640×576,OBFormat.Y16,ts=2517796582
[DEBUG] frames: total=136, depth_sets=131, color=1280×720,OBFormat.RGB,ts=2517796681, depth=640×576,OBFormat.Y16,ts=2517796682
[DEBUG] frames: total=137, depth_sets=132, color=1280×720,OBFormat.RGB,ts=2517796747, depth=640×576,OBFormat.Y16,ts=2517796748
[DEBUG] frames: total=138, depth_sets=133, color=1280×720,OBFormat.RGB,ts=2517796847, depth=640×576,OBFormat.Y16,ts=2517796848
[DEBUG] frames: total=139, depth_sets=134, color=1280×720,OBFormat.RGB,ts=2517796913, depth=640×576,OBFormat.Y16,ts=2517796915
[DEBUG] frames: total=140, depth_sets=135, color=1280×720,OBFormat.RGB,ts=2517797013, depth=640×576,OBFormat.Y16,ts=2517797014
[DEBUG] frames: total=141, depth_sets=136, color=1280×720,OBFormat.RGB,ts=2517797146, depth=640×576,OBFormat.Y16,ts=2517797147
[DEBUG] frames: total=142, depth_sets=137, color=1280×720,OBFormat.RGB,ts=2517797213, depth=640×576,OBFormat.Y16,ts=2517797214
[DEBUG] frames: total=143, depth_sets=138, color=1280×720,OBFormat.RGB,ts=2517797312, depth=640×576,OBFormat.Y16,ts=2517797314
[DEBUG] frames: total=144, depth_sets=139, color=1280×720,OBFormat.RGB,ts=2517797379, depth=640×576,OBFormat.Y16,ts=2517797380
[DEBUG] frames: total=145, depth_sets=140, color=1280×720,OBFormat.RGB,ts=2517797479, depth=640×576,OBFormat.Y16,ts=2517797480
[DEBUG] frames: total=146, depth_sets=141, color=1280×720,OBFormat.RGB,ts=2517797545, depth=640×576,OBFormat.Y16,ts=2517797546
[DEBUG] frames: total=147, depth_sets=142, color=1280×720,OBFormat.RGB,ts=2517797645, depth=640×576,OBFormat.Y16,ts=2517797646
[DEBUG] frames: total=148, depth_sets=143, color=1280×720,OBFormat.RGB,ts=2517797711, depth=640×576,OBFormat.Y16,ts=2517797713
[DEBUG] frames: total=149, depth_sets=144, color=1280×720,OBFormat.RGB,ts=2517797811, depth=640×576,OBFormat.Y16,ts=2517797812
[DEBUG] frames: total=150, depth_sets=145, color=1280×720,OBFormat.RGB,ts=2517797878, depth=640×576,OBFormat.Y16,ts=2517797879
[DEBUG] frames: total=151, depth_sets=146, color=1280×720,OBFormat.RGB,ts=2517797977, depth=640×576,OBFormat.Y16,ts=2517797979
[DEBUG] frames: total=152, depth_sets=147, color=1280×720,OBFormat.RGB,ts=2517798077, depth=640×576,OBFormat.Y16,ts=2517798078
[DEBUG] frames: total=153, depth_sets=148, color=1280×720,OBFormat.RGB,ts=2517798144, depth=640×576,OBFormat.Y16,ts=2517798145
[DEBUG] frames: total=154, depth_sets=149, color=1280×720,OBFormat.RGB,ts=2517798243, depth=640×576,OBFormat.Y16,ts=2517798245
[DEBUG] frames: total=155, depth_sets=150, color=1280×720,OBFormat.RGB,ts=2517798310, depth=640×576,OBFormat.Y16,ts=2517798311
[DEBUG] frames: total=156, depth_sets=151, color=1280×720,OBFormat.RGB,ts=2517798410, depth=640×576,OBFormat.Y16,ts=2517798411
[DEBUG] frames: total=157, depth_sets=152, color=1280×720,OBFormat.RGB,ts=2517798476, depth=640×576,OBFormat.Y16,ts=2517798477
[DEBUG] frames: total=158, depth_sets=153, color=1280×720,OBFormat.RGB,ts=2517798576, depth=640×576,OBFormat.Y16,ts=2517798577
[DEBUG] frames: total=159, depth_sets=154, color=1280×720,OBFormat.RGB,ts=2517798642, depth=640×576,OBFormat.Y16,ts=2517798644
[DEBUG] frames: total=160, depth_sets=155, color=1280×720,OBFormat.RGB,ts=2517798742, depth=640×576,OBFormat.Y16,ts=2517798743
[DEBUG] frames: total=161, depth_sets=156, color=1280×720,OBFormat.RGB,ts=2517798809, depth=640×576,OBFormat.Y16,ts=2517798810
